iter	Passed	Remaining
461	788	918
462	790	916
463	791	914
464	792	912
465	794	910
466	795	907
467	796	905
468	797	903
469	799	901
470	800	898
471	801	896
472	803	895
473	805	893
474	806	891
475	807	889
476	809	887
477	810	884
478	811	882
479	812	880
480	814	878
481	815	876
482	816	874
483	818	872
484	820	870
485	821	868
486	822	866
487	824	864
488	825	862
489	826	860
490	827	858
491	829	856
492	830	854
493	831	852
494	833	850
495	835	848
496	836	846
497	837	844
498	838	842
499	840	840
500	841	838
501	843	836
502	844	834
503	845	832
504	846	830
505	848	828
506	850	826
507	851	825
508	853	823
509	854	821
510	856	819
511	857	817
512	859	815
513	860	813
514	861	811
515	863	810
516	865	808
517	866	806
518	867	804
519	869	802
520	870	800
521	871	798
522	873	796
523	874	794
524	875	792
525	877	790
526	878	788
527	880	787
528	881	785
529	883	783
530	884	781
531	886	779
532	887	777
533	888	775
534	889	773
535	891	771
536	893	770
537	894	768
538	896	766
539	897	764
540	898	762
541	900	760
542	901	758
543	902	756
544	903	754
545	905	752
546	906	750
547	908	749
548	909	747
549	911	745
550	912	743
551	913	741
552	915	739
553	916	737
554	917	735
555	919	733
556	920	732
557	921	730
558	923	728
559	925	726
560	926	725
561	928	723
562	929	721
563	930	719
564	931	717
565	933	715
566	934	713
567	935	711
568	936	709
569	938	708
570	940	706
571	941	704
572	943	702
573	944	700
574	945	698
575	946	697
576	948	695
577	949	693
578	950	691
579	952	689
580	954	688
581	955	686
582	957	684
583	959	683
584	960	681
585	961	679
586	962	677
587	963	675
588	965	673
589	966	671
590	968	670
591	970	668
592	971	666
593	972	664
594	973	662
595	975	661
596	976	659
597	977	657
598	979	655
599	980	653
600	981	651
601	983	650
602	984	648
603	986	646
604	987	644
605	988	642
606	989	640
607	991	638
608	992	637
609	993	635
610	994	633
611	996	631
612	997	630
613	999	628
614	1000	626
615	1002	624
616	1003	622
617	1004	621
618	1005	619
619	1007	617
620	1008	615
621	1009	613
622	1011	611
623	1013	610
624	1014	608
625	1016	607
626	1017	605
627	1018	603
628	1020	601
629	1021	599
630	1022	598
631	1024	596
632	1025	594
633	1027	593
634	1029	591
635	1030	589
636	1032	588
637	1033	586
638	1034	584
639	1035	582
640	1037	580
641	1038	579
642	1039	577
643	1041	575
644	1042	574
645	1044	572
646	1045	570
647	1047	569
648	1049	567
649	1050	565
650	1051	563
651	1052	561
652	1054	560
653	1055	558
654	1057	557
655	1059	555
656	1060	553
657	1062	552
658	1063	550
659	1065	548
660	1066	547
661	1068	545
662	1069	543
663	1071	542
664	1073	540
665	1074	538
666	1075	537
667	1077	535
668	1078	533
669	1079	531
670	1081	530
671	1082	528
672	1083	526
673	1085	524
674	1086	523
675	1088	521
676	1089	519
677	1090	518
678	1092	516
679	1093	514
680	1095	512
681	1096	511
682	1097	509
683	1099	507
684	1100	506
685	1102	504
686	1103	502
687	1105	501
688	1106	499
689	1107	497
690	1109	495
691	1110	494
692	1111	492
693	1112	490
694	1114	488
695	1115	487
696	1117	485
697	1118	484
698	1120	482
699	1121	480
700	1122	478
701	1124	477
702	1125	475
703	1126	473
704	1128	472
705	1129	470
706	1130	468
707	1132	467
708	1134	465
709	1135	463
710	1136	462
711	1138	460
712	1139	458
713	1140	456
714	1141	455
715	1143	453
716	1144	451
717	1145	449
718	1147	448
719	1149	446
720	1150	445
721	1152	443
722	1153	441
723	1154	440
724	1156	438
725	1157	436
726	1158	435
727	1160	433
728	1161	431
729	1163	430
730	1165	428
731	1166	427
732	1167	425
733	1168	423
734	1170	421
735	1171	420
736	1172	418
737	1174	416
738	1175	415
739	1177	413
740	1178	411
741	1179	410
742	1181	408
743	1182	406
744	1183	405
745	1185	403
746	1186	401
747	1187	400
748	1188	398
749	1190	396
750	1192	395
751	1193	393
752	1195	392
753	1196	390
754	1197	388
755	1199	386
756	1200	385
757	1201	383
758	1202	381
759	1204	380
760	1205	378
761	1207	377
762	1208	375
763	1210	373
764	1211	372
765	1212	370
766	1213	368
767	1215	367
768	1216	365
769	1217	363
770	1218	362
771	1220	360
772	1222	359
773	1224	357
774	1225	355
775	1227	354
776	1228	352
777	1229	350
778	1231	349
779	1232	347
780	1234	346
781	1235	344
782	1237	342
783	1238	341
784	1239	339
785	1241	337
786	1242	336
787	1244	334
788	1245	333
789	1246	331
790	1248	329
791	1249	328
792	1251	326
793	1252	325
794	1254	323
795	1255	321
796	1257	320
797	1258	318
798	1259	316
799	1260	315
800	1262	313
801	1263	311
802	1264	310
803	1266	308
804	1267	307
805	1269	305
806	1270	303
807	1271	302
808	1273	300
809	1274	298
810	1275	297
811	1276	295
812	1278	294
813	1279	292
814	1281	290
815	1282	289
816	1284	287
817	1285	286
818	1286	284
819	1288	282
820	1289	281
821	1290	279
822	1292	277
823	1293	276
824	1294	274
825	1296	273
826	1298	271
827	1299	269
828	1300	268
829	1302	266
830	1303	265
831	1304	263
832	1306	261
833	1307	260
834	1308	258
835	1309	256
836	1311	255
837	1313	253
838	1314	252
839	1315	250
840	1317	249
841	1318	247
842	1320	245
843	1321	244
844	1322	242
845	1323	240
846	1325	239
847	1327	237
848	1328	236
849	1330	234
850	1331	233
851	1333	231
852	1334	230
853	1336	228
854	1337	226
855	1338	225
856	1339	223
857	1341	222
858	1343	220
859	1344	218
860	1345	217
861	1347	215
862	1348	214
863	1349	212
864	1350	210
865	1352	209
866	1353	207
867	1354	206
868	1356	204
869	1358	202
870	1359	201
871	1360	199
872	1362	198
873	1363	196
874	1364	194
875	1366	193
876	1367	191
877	1368	190
878	1370	188
879	1371	187
880	1373	185
881	1374	183
882	1376	182
883	1377	180
884	1378	179
885	1379	177
886	1381	175
887	1382	174
888	1383	172
889	1385	171
890	1387	169
891	1388	168
892	1390	166
893	1391	164
894	1392	163
895	1393	161
896	1395	160
897	1396	158
898	1397	157
899	1398	155
900	1400	153
901	1402	152
902	1404	150
903	1405	149
904	1406	147
905	1408	146
906	1409	144
907	1410	142
908	1411	141
909	1413	139
910	1414	138
911	1416	136
912	1417	135
913	1419	133
914	1420	131
915	1421	130
916	1423	128
917	1424	127
918	1425	125
919	1426	124
920	1428	122
921	1429	120
922	1431	119
923	1433	117
924	1435	116
925	1436	114
926	1438	113
927	1439	111
928	1440	110
929	1441	108
930	1443	106
931	1444	105
932	1446	103
933	1448	102
934	1450	100
935	1451	99
936	1453	97
937	1454	96
938	1456	94
939	1457	93
940	1459	91
941	1461	89
942	1462	88
943	1464	86
944	1465	85
945	1466	83
946	1468	82
947	1469	80
948	1470	79
949	1471	77
950	1473	75
951	1474	74
952	1476	72
953	1478	71
954	1479	69
955	1480	68
956	1481	66
957	1483	65
958	1484	63
959	1485	61
960	1487	60
961	1488	58
962	1490	57
963	1491	55
964	1493	54
965	1494	52
966	1495	51
967	1496	49
968	1498	47
969	1499	46
970	1500	44
971	1502	43
972	1503	41
973	1504	40
974	1506	38
975	1508	37
976	1509	35
977	1510	33
978	1512	32
979	1513	30
980	1514	29
981	1515	27
982	1517	26
983	1518	24
984	1520	23
985	1522	21
986	1524	20
987	1525	18
988	1527	16
989	1528	15
990	1529	13
991	1530	12
992	1532	10
993	1533	9
994	1535	7
995	1537	6
996	1538	4
997	1539	3
998	1541	1
999	1542	0
